index,image,title,actor,time,score
30,https://p1.meituan.net/movie/a1634f4e49c8517ae0a3e4adcac6b0dc43994.jpg@160w_220h_1e_1c,迁徙的鸟,"雅克·贝汉,Philippe Labro",2001-12-12(法国),9.0
31,https://p1.meituan.net/movie/291f90da11eb16cabb036d3aa51f315724626.jpg@160w_220h_1e_1c,唐伯虎点秋香,"周星驰,巩俐,郑佩佩",1993-07-01(中国香港),9.1
32,https://p0.meituan.net/movie/b0d97e4158b47d653d7a81d66f7dd3092146907.jpg@160w_220h_1e_1c,驯龙高手,"杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",2010-05-14,9.0
33,https://p0.meituan.net/movie/27b76fe6cf3903f3d74963f70786001e1438406.jpg@160w_220h_1e_1c,狮子王,"马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯",1995-07-15,8.8
34,https://p0.meituan.net/movie/289f98ceaa8a0ae737d3dc01cd05ab052213631.jpg@160w_220h_1e_1c,罗马假日,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953-08-20(意大利),9.1
35,https://p0.meituan.net/movie/eb2ea56996f21e7fb47b1a0736c7f177258901.jpg@160w_220h_1e_1c,海豚湾,"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",2009-07-31(美国),8.9
36,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@160w_220h_1e_1c,辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-11-30(美国),9.2
37,https://p0.meituan.net/movie/28e51e8dac4bb132a037824227e54df9438711.jpg@160w_220h_1e_1c,窃听风暴,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",2006-03-23(德国),9.0
38,https://p1.meituan.net/movie/ed50b58bf636d207c56989872a91f4cf305138.jpg@160w_220h_1e_1c,我爱你,"宋在浩,李顺才,尹秀晶",2011-02-17(韩国),9.0
39,https://p0.meituan.net/movie/2e383b5f5f306f10f9f26d9f1c28cf1d825537.jpg@160w_220h_1e_1c,黑客帝国3：矩阵革命,"基努·里维斯,雨果·维文,凯瑞-安·莫斯",2003-11-05,8.8
40,https://p0.meituan.net/movie/8609f509a07d64da4c8bdc58db7a440a369264.jpg@160w_220h_1e_1c,活着,"葛优,巩俐,牛犇（bēn）",1994-05-17(法国),9.0
41,https://p0.meituan.net/movie/32ae5d0f25996ec169def65459a0f52f386220.jpg@160w_220h_1e_1c,飞屋环游记,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",2009-08-04,8.9
42,https://p0.meituan.net/movie/6cb23356f9d8e0b506349561c633310d102189.jpg@160w_220h_1e_1c,一一,"吴念真,金燕玲,李凯莉",2017-07-28(中国台湾),8.9
43,https://p0.meituan.net/movie/845ce32778a1b3f258de089f91a3979b5766154.jpg@160w_220h_1e_1c,速度与激情5,"范·迪塞尔,保罗·沃克,道恩·强森",2011-05-12,9.1
44,https://p0.meituan.net/movie/752494aa96c193c2852399b918a591ca381255.jpg@160w_220h_1e_1c,夜访吸血鬼,"汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",1994-11-11(美国),8.8
45,https://p1.meituan.net/movie/4c55f3bf5fa9660db3cb7014651a0950267034.jpg@160w_220h_1e_1c,萤火之森,"内山昂辉,佐仓绫音,后藤弘树",2011-09-17(日本),9.0
46,https://p0.meituan.net/movie/c304c687e287c7c2f9e22cf78257872d277201.jpg@160w_220h_1e_1c,龙猫,"秦岚,糸井重里,岛本须美",2018-12-14,9.2
47,https://p1.meituan.net/movie/640cc32445df972b066c9a04b194da141104515.jpg@160w_220h_1e_1c,借东西的小人阿莉埃蒂,"志田未来,神木隆之介,大竹忍",2010-07-17(日本),8.8
48,https://p0.meituan.net/moviemachine/e5daa8748733820faab91102bd0bc4507730353.jpg@160w_220h_1e_1c,当幸福来敲门,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008-01-17,9.3
49,https://p1.meituan.net/movie/32590f3fa6b4ca94692291f8ba145c14352462.jpg@160w_220h_1e_1c,魔女宅急便,"高山南,佐久间玲,户田 惠子",1989-07-29(日本),8.8
50,https://p0.meituan.net/movie/de1142a5dceb901eb939eb0bcfc2f88470909.jpg@160w_220h_1e_1c,爱·回家,"俞承豪,金艺芬,童孝熙",2002-04-05(韩国),9.0
51,https://p0.meituan.net/movie/04263651e43c11ce538b180988ff0a5e231189.jpg@160w_220h_1e_1c,忠犬八公的故事,"Forest,理查·基尔,琼·艾伦",2009-06-13(美国),9.3
52,https://p0.meituan.net/movie/15983d78f1450ac2c73a7d4417536714337582.jpg@160w_220h_1e_1c,本杰明·巴顿奇事,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",2008-12-25(美国),8.8
53,https://p1.meituan.net/movie/2a0783b4fd95566568f24adfad2181bb5392280.jpg@160w_220h_1e_1c,熔炉,"孔刘,郑有美,金智英",2011-09-22(韩国),8.8
54,https://p1.meituan.net/movie/8d7b0b902afd4ec1a3dd7a9c6149463c187734.jpg@160w_220h_1e_1c,闻香识女人,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23(美国),8.8
55,https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg@160w_220h_1e_1c,哈利·波特与死亡圣器（下）,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2011-08-04,9.0
56,https://p1.meituan.net/moviemachine/508056769092059fe43a611b949f27d14863831.jpg@160w_220h_1e_1c,大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",2014-10-24,8.8
57,https://p0.meituan.net/moviemachine/c2496a7290a72eac6081321898c347693550574.jpg@160w_220h_1e_1c,盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010-09-01,9.0
58,https://p1.meituan.net/movie/389058d95ea9e464d695cd1a8c7e285f440657.jpg@160w_220h_1e_1c,辩护人,"宋康昊,郭度沅,吴达洙",2013-12-18(韩国),8.8
59,https://p1.meituan.net/movie/ef83b1e2ef6fa1e6f736521a356b829a334336.jpg@160w_220h_1e_1c,致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006-10-17(意大利),8.8
60,https://p0.meituan.net/movie/3301e6cf88f176e850c6b1294f424f2c539515.jpg@160w_220h_1e_1c,蝙蝠侠：黑暗骑士崛起,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",2012-08-27,8.9
61,https://p0.meituan.net/movie/396266d8b711958841b3536a3fa7b868211445.jpg@160w_220h_1e_1c,大话西游之月光宝盒,"周星驰,莫文蔚,吴孟达",2014-10-24,9.6
62,https://p1.meituan.net/movie/205b31acc75e84e2942b4fed4dcef9d2256444.jpg@160w_220h_1e_1c,海洋,"雅克·贝汉,姜文,兰斯洛特·佩林",2011-08-12,8.9
63,https://p0.meituan.net/movie/af30b9a70f567144c91b3797b492a954680599.jpg@160w_220h_1e_1c,指环王3：王者无敌,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2004-03-15,9.2
64,https://p0.meituan.net/movie/61fea77024f83b3700603f6af93bf690585789.jpg@160w_220h_1e_1c,霸王别姬,"张国荣,张丰毅,巩俐",1993-07-26,9.5
65,https://p0.meituan.net/movie/70de97ebb6b5251ecb7c3f6d7a782a7f189340.jpg@160w_220h_1e_1c,放牛班的春天,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",2004-10-16,8.8
66,https://p0.meituan.net/movie/30b20139e68c46d02e0893277d633b701292458.jpg@160w_220h_1e_1c,千与千寻,"柊瑠美,周冬雨,入野自由",2019-06-21,9.3
67,https://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg@160w_220h_1e_1c,哈尔的移动城堡,"倍赏千惠子,木村拓哉,美轮明宏",2004-09-05(意大利),8.9
68,https://p1.meituan.net/movie/dd08154878aac7c8c649fe3eeb8ccd0a2498277.jpg@160w_220h_1e_1c,指环王1：护戒使者,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2002-04-04,9.0
69,https://p0.meituan.net/movie/02bb9fd161c05bad6089133098efcdb5546589.jpg@160w_220h_1e_1c,指环王2：双塔奇兵,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2003-04-25,9.1
70,https://p1.meituan.net/movie/efae7609658f93f34921b740ef3f6bb8332690.jpg@160w_220h_1e_1c,无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,简·林奇",2012-11-06,9.0
